Cycle_3
25.0
31.0
31.0
27.0
29.0
25.0
31.0
29.0
26.0
28.0
27.0
32.0
25.0
29.0
25.0
32.0
27.0
31.0
29.0
25.0
29.0
29.0
28.0
28.0
27.0
28.0
31.0
24.0
29.0
34.0
28.0
28.0
30.0
32.0
30.0
30.0
29.0
29.0
25.0
48.0
44.0
28.0
34.0
27.0
34.0
26.0
27.0
25.0
30.0
27.0
29.0
28.0
25.0
30.0
28.0
28.0
26.0
27.0
35.0
42.0
23.0
22.0
29.0
24.0
26.0
36.0
26.0
26.0
27.0
26.0
35.0
26.0
29.0
33.0
30.0
24.0
28.0
26.0
26.0
26.0
28.0
31.0
26.0
29.0
26.0
27.0
22.0
24.0
28.0
30.0
24.0
31.0
27.0
27.0
40.0
25.0
32.0
27.0
32.0
42.0
25.0
29.0
36.0
31.0
29.0
27.0
27.0
29.0
40.0
26.0
28.0
30.0
26.0
28.0
35.0
24.0
27.0
26.0
30.0
27.0
24.0
26.0
30.0
26.0
32.0
28.0
34.0
27.0
26.0
31.0
24.0
26.0
33.0
30.0
27.0
26.0
27.0
24.0
29.0
28.0
45.0
30.0
40.0
28.0
28.0
30.0
33.0
36.0
27.0
30.0
25.0
27.0
30.0
39.0
25.0
24.0
26.0
31.0
32.0
29.0
31.0
25.0
29.0
26.0
37.0
32.0
26.0
35.0
24.0
30.0
28.0
37.0
26.0
24.0
40.0
28.0
27.0
31.0
32.0
33.0
32.0
27.0
27.0
26.0
32.0
30.0
37.0
30.0
24.0
32.0
43.0
32.0
23.0
27.0
34.0
32.0
28.0
29.0
27.0
27.0
28.0
31.0
31.0
28.0
42.0
28.0
35.0
28.0
28.0
27.0
30.0
30.0
29.0
29.0
27.0
29.0
54.0
25.0
36.0
30.0
27.0
33.0
29.0
35.0
33.0
30.0
27.0
26.0
29.0
37.0
26.0
30.0
28.0
25.0
27.0
26.0
29.0
23.0
30.0
32.0
29.0
32.0
30.0
27.0
30.0
35.0
27.0
28.0
32.0
28.0
35.0
27.0
19.0
31.0
31.0
29.0
38.0
29.0
29.0
28.0
35.0
34.0
28.0
30.0
27.0
25.0
29.0
33.0
32.0
30.0
27.0
33.0
31.0
35.0
28.0
40.0
26.0
27.0
27.0
26.0
28.0
27.0
34.0
32.0
29.0
29.0
26.0
27.0
28.0
30.0
24.0
26.0
27.0
27.0
26.0
24.0
30.0
32.0
39.0
32.0
30.0
29.0
28.0
31.0
28.0
27.0
24.0
28.0
29.0
29.0
35.0
38.0
33.0
26.0
29.0
28.0
29.0
29.0
28.0
30.0
28.0
31.0
26.0
29.0
32.0
25.0
28.0
25.0
28.0
34.0
27.0
27.0
27.0
27.0
32.0
31.0
26.0
30.0
25.0
30.0
36.0
28.0
28.0
31.0
30.0
30.0
26.0
30.0
26.0
30.0
33.0
24.0
29.0
31.0
26.0
28.0
26.0
